DATE;Season;VISITOR;V.PTS;HOME;H.PTS;OT;
12/16/2003;2004;Milwaukee Bucks;106;Portland Trail Blazers;99;;
12/16/2003;2004;Utah Jazz;87;Washington Wizards;91;;
12/17/2003;2004;Golden State Warriors;98;Atlanta Hawks;85;;
12/17/2003;2004;Dallas Mavericks;103;Boston Celtics;105;;
12/17/2003;2004;Houston Rockets;89;Cleveland Cavaliers;85;;
12/17/2003;2004;Chicago Bulls;73;Detroit Pistons;77;;
12/17/2003;2004;Orlando Magic;94;Indiana Pacers;90;;
12/17/2003;2004;Milwaukee Bucks;83;Los Angeles Clippers;93;;
12/17/2003;2004;Utah Jazz;74;New Jersey Nets;87;;
12/17/2003;2004;Miami Heat;76;Philadelphia 76ers;87;;
12/17/2003;2004;Toronto Raptors;70;San Antonio Spurs;73;;
12/17/2003;2004;Denver Nuggets;99;Seattle SuperSonics;98;;
12/18/2003;2004;Dallas Mavericks;109;Minnesota Timberwolves;114;;
12/18/2003;2004;Sacramento Kings;101;New Orleans Hornets;90;;
12/18/2003;2004;Phoenix Suns;94;Portland Trail Blazers;101;;
12/19/2003;2004;Sacramento Kings;98;Atlanta Hawks;86;;
12/19/2003;2004;Utah Jazz;99;Boston Celtics;96;;
12/19/2003;2004;Los Angeles Clippers;85;Houston Rockets;99;;
12/19/2003;2004;Detroit Pistons;75;Indiana Pacers;80;;
12/19/2003;2004;Denver Nuggets;99;Los Angeles Lakers;101;;
12/19/2003;2004;Miami Heat;83;Memphis Grizzlies;97;;
12/19/2003;2004;Washington Wizards;87;New Jersey Nets;97;;
12/19/2003;2004;Golden State Warriors;93;Orlando Magic;119;;
12/19/2003;2004;Cleveland Cavaliers;88;Philadelphia 76ers;81;;
12/19/2003;2004;San Antonio Spurs;87;Seattle SuperSonics;73;;
12/19/2003;2004;New York Knicks;99;Toronto Raptors;105;OT;
12/20/2003;2004;Cleveland Cavaliers;95;Chicago Bulls;87;;
12/20/2003;2004;Los Angeles Clippers;115;Dallas Mavericks;105;;
12/20/2003;2004;Seattle SuperSonics;115;Denver Nuggets;106;;
12/20/2003;2004;New Jersey Nets;87;Milwaukee Bucks;92;;
12/20/2003;2004;Indiana Pacers;80;Minnesota Timberwolves;102;;
12/20/2003;2004;Memphis Grizzlies;89;New Orleans Hornets;94;;
12/20/2003;2004;Atlanta Hawks;92;New York Knicks;103;;
12/20/2003;2004;Houston Rockets;87;Phoenix Suns;102;;
12/20/2003;2004;San Antonio Spurs;101;Portland Trail Blazers;91;;
12/21/2003;2004;Philadelphia 76ers;84;Boston Celtics;87;;
12/21/2003;2004;Utah Jazz;75;Detroit Pistons;96;;
12/21/2003;2004;Phoenix Suns;101;Los Angeles Lakers;107;;
12/21/2003;2004;Golden State Warriors;93;Miami Heat;104;;
12/21/2003;2004;Portland Trail Blazers;98;Sacramento Kings;117;;
12/21/2003;2004;Orlando Magic;104;Toronto Raptors;93;;
12/22/2003;2004;Utah Jazz;92;Chicago Bulls;80;;
12/22/2003;2004;Memphis Grizzlies;99;Denver Nuggets;106;;
12/22/2003;2004;Orlando Magic;73;Philadelphia 76ers;95;;
12/23/2003;2004;Boston Celtics;88;Atlanta Hawks;93;;
12/23/2003;2004;New Orleans Hornets;86;Cleveland Cavaliers;97;;
12/23/2003;2004;Los Angeles Lakers;98;Golden State Warriors;107;;
12/23/2003;2004;Indiana Pacers;79;Houston Rockets;71;;
12/23/2003;2004;Washington Wizards;72;Miami Heat;79;;
12/23/2003;2004;Detroit Pistons;78;Milwaukee Bucks;83;;
12/23/2003;2004;Chicago Bulls;78;New Jersey Nets;95;;
12/23/2003;2004;Minnesota Timberwolves;98;New York Knicks;92;;
12/23/2003;2004;Dallas Mavericks;88;Portland Trail Blazers;97;;
12/23/2003;2004;Memphis Grizzlies;97;Sacramento Kings;114;;
12/23/2003;2004;Los Angeles Clippers;90;San Antonio Spurs;111;;
12/23/2003;2004;Phoenix Suns;90;Seattle SuperSonics;116;;
12/25/2003;2004;Houston Rockets;99;Los Angeles Lakers;87;;
12/25/2003;2004;Cleveland Cavaliers;101;Orlando Magic;113;OT;
12/25/2003;2004;Dallas Mavericks;111;Sacramento Kings;103;;
12/26/2003;2004;Chicago Bulls;87;Cleveland Cavaliers;80;;
12/26/2003;2004;Houston Rockets;94;Denver Nuggets;95;;
12/26/2003;2004;New Jersey Nets;82;Detroit Pistons;79;;
12/26/2003;2004;Sacramento Kings;91;Golden State Warriors;98;;
12/26/2003;2004;Philadelphia 76ers;98;Los Angeles Clippers;101;;
12/26/2003;2004;New York Knicks;98;Memphis Grizzlies;94;;
12/26/2003;2004;Indiana Pacers;96;Milwaukee Bucks;101;;
12/26/2003;2004;Atlanta Hawks;79;New Orleans Hornets;109;;
12/26/2003;2004;Boston Celtics;104;Phoenix Suns;102;;
12/26/2003;2004;Minnesota Timberwolves;92;Portland Trail Blazers;101;;
12/26/2003;2004;Orlando Magic;83;San Antonio Spurs;98;;
12/26/2003;2004;Toronto Raptors;94;Utah Jazz;97;OT;
12/26/2003;2004;Miami Heat;92;Washington Wizards;84;;
12/27/2003;2004;Detroit Pistons;87;Atlanta Hawks;84;;
12/27/2003;2004;Washington Wizards;86;Chicago Bulls;100;;
12/27/2003;2004;Memphis Grizzlies;98;Dallas Mavericks;104;;
12/27/2003;2004;New Jersey Nets;82;Indiana Pacers;75;;
12/27/2003;2004;New York Knicks;100;Miami Heat;80;;
12/27/2003;2004;Minnesota Timberwolves;104;Seattle SuperSonics;86;;
12/28/2003;2004;Portland Trail Blazers;74;Cleveland Cavaliers;86;;
12/28/2003;2004;Golden State Warriors;79;Denver Nuggets;103;;
12/28/2003;2004;Toronto Raptors;94;Los Angeles Clippers;88;;
12/28/2003;2004;Boston Celtics;82;Los Angeles Lakers;105;;
12/28/2003;2004;Philadelphia 76ers;92;Phoenix Suns;100;;
12/28/2003;2004;Utah Jazz;89;Sacramento Kings;98;;
12/28/2003;2004;Milwaukee Bucks;74;San Antonio Spurs;89;;
12/29/2003;2004;Miami Heat;90;Chicago Bulls;83;;
12/29/2003;2004;New Orleans Hornets;99;Detroit Pistons;108;;
12/29/2003;2004;Boston Celtics;100;Golden State Warriors;91;;
12/29/2003;2004;Seattle SuperSonics;87;Houston Rockets;86;;
12/29/2003;2004;Memphis Grizzlies;86;Indiana Pacers;94;;
12/29/2003;2004;Phoenix Suns;113;Los Angeles Clippers;105;;
12/29/2003;2004;Portland Trail Blazers;91;New Jersey Nets;87;;
12/29/2003;2004;New York Knicks;114;Orlando Magic;86;;
12/29/2003;2004;Philadelphia 76ers;97;Utah Jazz;106;;
12/30/2003;2004;Indiana Pacers;92;Cleveland Cavaliers;89;;
12/30/2003;2004;Milwaukee Bucks;92;Dallas Mavericks;101;;
12/30/2003;2004;Toronto Raptors;81;Denver Nuggets;74;;
12/30/2003;2004;Seattle SuperSonics;105;Memphis Grizzlies;99;;
12/30/2003;2004;Chicago Bulls;93;Minnesota Timberwolves;98;;
12/30/2003;2004;Miami Heat;73;New York Knicks;102;;
12/30/2003;2004;Atlanta Hawks;83;Washington Wizards;73;;
12/31/2003;2004;New Orleans Hornets;96;Boston Celtics;94;;
12/31/2003;2004;Portland Trail Blazers;71;Detroit Pistons;78;;
12/31/2003;2004;Philadelphia 76ers;72;Houston Rockets;80;;
12/31/2003;2004;Denver Nuggets;104;Los Angeles Clippers;120;;
12/31/2003;2004;Golden State Warriors;70;New Jersey Nets;88;;
1/2/2004;2004;Indiana Pacers;103;Boston Celtics;90;;
1/2/2004;2004;Phoenix Suns;81;Detroit Pistons;93;;
1/2/2004;2004;Utah Jazz;88;Memphis Grizzlies;100;;
1/2/2004;2004;Orlando Magic;101;Miami Heat;112;;
1/2/2004;2004;Dallas Mavericks;101;Milwaukee Bucks;109;;
1/2/2004;2004;Atlanta Hawks;75;Minnesota Timberwolves;93;;
1/2/2004;2004;Cleveland Cavaliers;82;New Jersey Nets;97;;
1/2/2004;2004;Chicago Bulls;104;New York Knicks;99;;
1/2/2004;2004;Denver Nuggets;106;Portland Trail Blazers;96;;
1/2/2004;2004;Los Angeles Lakers;109;Seattle SuperSonics;111;;
1/2/2004;2004;New Orleans Hornets;86;Toronto Raptors;74;;
1/2/2004;2004;Golden State Warriors;79;Washington Wizards;97;;
1/3/2004;2004;Boston Celtics;88;Chicago Bulls;77;;
1/3/2004;2004;Minnesota Timberwolves;112;Dallas Mavericks;119;;
1/3/2004;2004;Atlanta Hawks;84;Denver Nuggets;76;;
1/3/2004;2004;Golden State Warriors;93;Detroit Pistons;99;;
1/3/2004;2004;Utah Jazz;63;Houston Rockets;84;;
1/3/2004;2004;New Orleans Hornets;84;Indiana Pacers;91;;
1/3/2004;2004;Sacramento Kings;116;Los Angeles Clippers;109;;
1/3/2004;2004;Orlando Magic;103;Memphis Grizzlies;112;;
1/3/2004;2004;Philadelphia 76ers;83;San Antonio Spurs;77;;
1/4/2004;2004;Los Angeles Lakers;98;Los Angeles Clippers;101;;
1/4/2004;2004;New Jersey Nets;95;New York Knicks;85;;
1/4/2004;2004;Seattle SuperSonics;99;Sacramento Kings;130;;
1/4/2004;2004;Phoenix Suns;73;Toronto Raptors;83;;
1/4/2004;2004;Milwaukee Bucks;100;Washington Wizards;94;;
1/5/2004;2004;Detroit Pistons;78;Boston Celtics;68;;
1/5/2004;2004;Phoenix Suns;82;Chicago Bulls;87;;
1/5/2004;2004;San Antonio Spurs;98;Denver Nuggets;74;;
1/5/2004;2004;Golden State Warriors;65;Houston Rockets;83;;
1/5/2004;2004;Indiana Pacers;87;Miami Heat;65;;
1/5/2004;2004;Milwaukee Bucks;88;Philadelphia 76ers;76;;
1/5/2004;2004;Portland Trail Blazers;108;Seattle SuperSonics;119;OT;
1/5/2004;2004;Dallas Mavericks;94;Utah Jazz;108;;
1/6/2004;2004;New York Knicks;96;Cleveland Cavaliers;107;;
1/6/2004;2004;Orlando Magic;107;Indiana Pacers;114;;
1/6/2004;2004;Los Angeles Lakers;90;Minnesota Timberwolves;106;;
1/6/2004;2004;Los Angeles Clippers;75;New Jersey Nets;92;;
1/6/2004;2004;Atlanta Hawks;89;Sacramento Kings;105;;
1/6/2004;2004;Washington Wizards;72;San Antonio Spurs;94;;
1/7/2004;2004;Orlando Magic;93;Boston Celtics;101;;
1/7/2004;2004;Golden State Warriors;99;Dallas Mavericks;105;;
1/7/2004;2004;Los Angeles Lakers;91;Denver Nuggets;113;;
1/7/2004;2004;Houston Rockets;66;Detroit Pistons;85;;
1/7/2004;2004;Chicago Bulls;95;Miami Heat;102;;
1/7/2004;2004;Phoenix Suns;87;Milwaukee Bucks;95;;
1/7/2004;2004;Washington Wizards;87;New Orleans Hornets;97;;
1/7/2004;2004;Los Angeles Clippers;80;Philadelphia 76ers;100;;
1/7/2004;2004;Sacramento Kings;93;Seattle SuperSonics;104;;
1/7/2004;2004;Cleveland Cavaliers;69;Toronto Raptors;75;;
1/8/2004;2004;Portland Trail Blazers;75;Minnesota Timberwolves;96;;
1/8/2004;2004;Houston Rockets;111;New York Knicks;79;;
1/9/2004;2004;Cleveland Cavaliers;82;Boston Celtics;107;;
1/9/2004;2004;Portland Trail Blazers;87;Chicago Bulls;78;;
1/9/2004;2004;Indiana Pacers;92;Dallas Mavericks;80;;
1/9/2004;2004;Utah Jazz;96;Denver Nuggets;106;;
1/9/2004;2004;Atlanta Hawks;67;Los Angeles Lakers;113;;
1/9/2004;2004;Miami Heat;94;Milwaukee Bucks;103;;
1/9/2004;2004;San Antonio Spurs;94;New Orleans Hornets;84;;
1/9/2004;2004;Washington Wizards;92;Orlando Magic;103;;
1/9/2004;2004;New Jersey Nets;81;Philadelphia 76ers;97;;
1/9/2004;2004;Sacramento Kings;113;Phoenix Suns;93;;
1/9/2004;2004;Memphis Grizzlies;116;Seattle SuperSonics;122;;
1/9/2004;2004;Los Angeles Clippers;78;Toronto Raptors;68;;
1/10/2004;2004;New Orleans Hornets;84;Chicago Bulls;89;;
1/10/2004;2004;Seattle SuperSonics;110;Golden State Warriors;113;OT;
1/10/2004;2004;Miami Heat;77;Minnesota Timberwolves;83;;
1/10/2004;2004;Milwaukee Bucks;88;New York Knicks;94;;
1/10/2004;2004;Indiana Pacers;88;San Antonio Spurs;89;OT;
1/10/2004;2004;Atlanta Hawks;71;Utah Jazz;92;;
1/10/2004;2004;Philadelphia 76ers;87;Washington Wizards;94;;
1/11/2004;2004;Dallas Mavericks;102;Detroit Pistons;115;;
1/11/2004;2004;Boston Celtics;97;Houston Rockets;93;;
1/11/2004;2004;Memphis Grizzlies;108;Los Angeles Clippers;107;OT;
1/11/2004;2004;Denver Nuggets;106;Sacramento Kings;117;;
1/11/2004;2004;Portland Trail Blazers;72;Toronto Raptors;83;;
1/12/2004;2004;Memphis Grizzlies;115;Golden State Warriors;113;2OT;
1/12/2004;2004;Cleveland Cavaliers;79;Los Angeles Lakers;89;;
1/12/2004;2004;Dallas Mavericks;127;New York Knicks;121;OT;
1/12/2004;2004;Philadelphia 76ers;87;Orlando Magic;82;;
1/13/2004;2004;San Antonio Spurs;77;Atlanta Hawks;86;;
1/13/2004;2004;Detroit Pistons;105;Chicago Bulls;89;;
1/13/2004;2004;Portland Trail Blazers;96;Los Angeles Clippers;103;OT;
1/13/2004;2004;Boston Celtics;103;Milwaukee Bucks;111;;
1/13/2004;2004;Minnesota Timberwolves;94;New Orleans Hornets;89;;
1/13/2004;2004;Denver Nuggets;105;Phoenix Suns;92;;
1/13/2004;2004;Miami Heat;86;Sacramento Kings;90;;
1/13/2004;2004;Cleveland Cavaliers;104;Seattle SuperSonics;96;;
1/13/2004;2004;Golden State Warriors;80;Utah Jazz;97;;
1/13/2004;2004;Houston Rockets;93;Washington Wizards;80;;
1/14/2004;2004;Houston Rockets;95;Boston Celtics;80;;
1/14/2004;2004;Philadelphia 76ers;122;Dallas Mavericks;125;2OT;
1/14/2004;2004;Toronto Raptors;91;Detroit Pistons;95;;
1/14/2004;2004;Atlanta Hawks;78;Indiana Pacers;85;;
1/14/2004;2004;Denver Nuggets;71;Los Angeles Lakers;97;;
1/14/2004;2004;Washington Wizards;103;New Jersey Nets;115;;
1/14/2004;2004;Orlando Magic;110;New York Knicks;120;;
1/14/2004;2004;Minnesota Timberwolves;100;San Antonio Spurs;93;;
1/15/2004;2004;Cleveland Cavaliers;102;Golden State Warriors;119;;
1/15/2004;2004;Chicago Bulls;93;Memphis Grizzlies;108;;
1/15/2004;2004;New Jersey Nets;83;Milwaukee Bucks;86;;
1/15/2004;2004;Toronto Raptors;78;New Orleans Hornets;74;OT;
1/15/2004;2004;Phoenix Suns;105;Portland Trail Blazers;96;;
1/15/2004;2004;Miami Heat;85;Utah Jazz;97;;
1/16/2004;2004;Dallas Mavericks;91;Denver Nuggets;88;;
1/16/2004;2004;Washington Wizards;77;Detroit Pistons;98;;
1/16/2004;2004;San Antonio Spurs;79;Indiana Pacers;89;;
1/16/2004;2004;Miami Heat;87;Los Angeles Clippers;85;;
1/16/2004;2004;Seattle SuperSonics;88;New York Knicks;108;;
1/16/2004;2004;Boston Celtics;118;Orlando Magic;124;OT;
1/16/2004;2004;Golden State Warriors;93;Phoenix Suns;104;;
1/16/2004;2004;Los Angeles Lakers;83;Sacramento Kings;103;;
1/17/2004;2004;Toronto Raptors;70;Atlanta Hawks;75;;
1/17/2004;2004;New York Knicks;101;Chicago Bulls;96;;
1/17/2004;2004;Minnesota Timberwolves;76;Houston Rockets;95;;
1/17/2004;2004;Los Angeles Clippers;89;Los Angeles Lakers;91;;
1/17/2004;2004;Detroit Pistons;99;Milwaukee Bucks;94;;
1/17/2004;2004;Indiana Pacers;90;New Jersey Nets;84;;
1/17/2004;2004;Orlando Magic;90;New Orleans Hornets;91;;
1/17/2004;2004;Memphis Grizzlies;91;Philadelphia 76ers;87;;
1/17/2004;2004;Dallas Mavericks;108;Portland Trail Blazers;104;;
1/17/2004;2004;Cleveland Cavaliers;102;Utah Jazz;96;OT;
1/17/2004;2004;Seattle SuperSonics;84;Washington Wizards;99;;
1/18/2004;2004;San Antonio Spurs;109;Boston Celtics;92;;
1/18/2004;2004;Miami Heat;80;Denver Nuggets;88;;
1/18/2004;2004;Portland Trail Blazers;92;Phoenix Suns;96;;
1/19/2004;2004;Indiana Pacers;100;Atlanta Hawks;97;;
1/19/2004;2004;San Antonio Spurs;77;Detroit Pistons;85;;
1/19/2004;2004;Utah Jazz;85;Golden State Warriors;101;;
1/19/2004;2004;Sacramento Kings;125;Los Angeles Clippers;100;;
1/19/2004;2004;Phoenix Suns;88;Los Angeles Lakers;85;;
1/19/2004;2004;Houston Rockets;83;Memphis Grizzlies;88;;
1/19/2004;2004;New Orleans Hornets;90;Minnesota Timberwolves;97;;
1/19/2004;2004;Toronto Raptors;79;New York Knicks;90;;
1/19/2004;2004;Milwaukee Bucks;99;Orlando Magic;106;;
1/19/2004;2004;Seattle SuperSonics;90;Philadelphia 76ers;81;;
1/19/2004;2004;Chicago Bulls;83;Washington Wizards;93;;
1/20/2004;2004;Seattle SuperSonics;94;Cleveland Cavaliers;99;;
1/20/2004;2004;New Jersey Nets;93;Dallas Mavericks;106;;
1/20/2004;2004;Detroit Pistons;69;Indiana Pacers;81;;
1/20/2004;2004;Boston Celtics;86;Miami Heat;84;;
1/20/2004;2004;Portland Trail Blazers;109;Sacramento Kings;104;OT;
1/20/2004;2004;Denver Nuggets;96;Utah Jazz;75;;
1/21/2004;2004;Chicago Bulls;87;Atlanta Hawks;97;;
1/21/2004;2004;Phoenix Suns;92;Denver Nuggets;97;;
1/21/2004;2004;New York Knicks;71;Houston Rockets;86;;
1/21/2004;2004;Golden State Warriors;102;Los Angeles Clippers;106;;
1/21/2004;2004;Los Angeles Lakers;82;Memphis Grizzlies;88;;
1/21/2004;2004;Orlando Magic;102;Milwaukee Bucks;113;;
1/21/2004;2004;Philadelphia 76ers;92;New Orleans Hornets;86;;
1/21/2004;2004;New Jersey Nets;76;San Antonio Spurs;99;;
1/21/2004;2004;Minnesota Timberwolves;108;Toronto Raptors;97;;
1/22/2004;2004;Sacramento Kings;95;Cleveland Cavaliers;89;;
1/22/2004;2004;Los Angeles Lakers;87;Dallas Mavericks;106;;
1/22/2004;2004;Golden State Warriors;87;Seattle SuperSonics;103;;
1/23/2004;2004;New York Knicks;96;Atlanta Hawks;94;;
1/23/2004;2004;Washington Wizards;89;Boston Celtics;100;;
1/23/2004;2004;Dallas Mavericks;106;Chicago Bulls;93;;
1/23/2004;2004;Houston Rockets;78;Indiana Pacers;74;;
1/23/2004;2004;Utah Jazz;82;Los Angeles Clippers;93;;
1/23/2004;2004;Sacramento Kings;95;Memphis Grizzlies;109;;
1/23/2004;2004;New Jersey Nets;64;Miami Heat;85;;
1/23/2004;2004;Toronto Raptors;86;Milwaukee Bucks;98;;
1/23/2004;2004;Detroit Pistons;79;Minnesota Timberwolves;80;;
1/23/2004;2004;Denver Nuggets;91;New Orleans Hornets;97;;
1/23/2004;2004;Orlando Magic;98;Philadelphia 76ers;93;;
1/23/2004;2004;San Antonio Spurs;86;Phoenix Suns;84;;
1/24/2004;2004;Philadelphia 76ers;87;Cleveland Cavaliers;95;;
1/24/2004;2004;Miami Heat;85;New York Knicks;77;;
1/24/2004;2004;Golden State Warriors;105;Portland Trail Blazers;87;;
1/24/2004;2004;New Orleans Hornets;98;San Antonio Spurs;96;;
1/24/2004;2004;Los Angeles Clippers;97;Seattle SuperSonics;102;;
1/24/2004;2004;Los Angeles Lakers;93;Utah Jazz;86;;
1/24/2004;2004;Indiana Pacers;96;Washington Wizards;107;;
1/25/2004;2004;Toronto Raptors;89;Chicago Bulls;96;;
1/25/2004;2004;Sacramento Kings;99;Dallas Mavericks;108;;
1/25/2004;2004;Atlanta Hawks;91;Detroit Pistons;82;;
1/25/2004;2004;Denver Nuggets;88;Memphis Grizzlies;106;;
1/25/2004;2004;Phoenix Suns;95;Minnesota Timberwolves;99;;
1/25/2004;2004;Boston Celtics;91;New Jersey Nets;110;;
1/25/2004;2004;Houston Rockets;99;Orlando Magic;87;;
1/26/2004;2004;Orlando Magic;98;Cleveland Cavaliers;99;;
1/26/2004;2004;Minnesota Timberwolves;97;Denver Nuggets;95;;
1/26/2004;2004;Houston Rockets;81;Miami Heat;95;;
1/26/2004;2004;San Antonio Spurs;92;Milwaukee Bucks;93;;
1/26/2004;2004;Los Angeles Clippers;93;Utah Jazz;98;;
1/26/2004;2004;Portland Trail Blazers;94;Washington Wizards;83;;
1/27/2004;2004;Phoenix Suns;89;Atlanta Hawks;85;;
1/27/2004;2004;Chicago Bulls;92;Los Angeles Clippers;102;;
1/27/2004;2004;San Antonio Spurs;77;New York Knicks;67;;
1/27/2004;2004;New Jersey Nets;94;Philadelphia 76ers;76;;
1/27/2004;2004;Dallas Mavericks;118;Seattle SuperSonics;116;;
1/28/2004;2004;Detroit Pistons;106;Boston Celtics;103;;
1/28/2004;2004;Miami Heat;93;Cleveland Cavaliers;94;;
1/28/2004;2004;Chicago Bulls;99;Denver Nuggets;115;;
1/28/2004;2004;Minnesota Timberwolves;90;Golden State Warriors;97;;
1/28/2004;2004;Sacramento Kings;99;Houston Rockets;94;;
1/28/2004;2004;Phoenix Suns;79;Indiana Pacers;101;;
1/28/2004;2004;Seattle SuperSonics;82;Los Angeles Lakers;96;;
1/28/2004;2004;Portland Trail Blazers;88;Memphis Grizzlies;76;;
1/28/2004;2004;Milwaukee Bucks;100;New Orleans Hornets;101;;
1/28/2004;2004;Philadelphia 76ers;84;Toronto Raptors;94;;
1/28/2004;2004;Dallas Mavericks;88;Utah Jazz;91;;
1/28/2004;2004;Orlando Magic;104;Washington Wizards;100;;
1/29/2004;2004;Portland Trail Blazers;93;Atlanta Hawks;85;;
1/29/2004;2004;New Jersey Nets;89;Orlando Magic;79;;
1/29/2004;2004;Sacramento Kings;96;San Antonio Spurs;91;;
1/30/2004;2004;New York Knicks;92;Boston Celtics;74;;
1/30/2004;2004;Chicago Bulls;81;Golden State Warriors;101;;
1/30/2004;2004;Minnesota Timberwolves;97;Los Angeles Lakers;84;;
1/30/2004;2004;Utah Jazz;85;Memphis Grizzlies;79;;
1/30/2004;2004;Los Angeles Clippers;88;Miami Heat;97;;
1/30/2004;2004;Cleveland Cavaliers;95;Milwaukee Bucks;101;;
1/30/2004;2004;New Orleans Hornets;82;Philadelphia 76ers;85;;
1/30/2004;2004;Detroit Pistons;90;Toronto Raptors;89;OT;
1/30/2004;2004;Phoenix Suns;100;Washington Wizards;105;;
1/31/2004;2004;Milwaukee Bucks;83;Atlanta Hawks;93;;
1/31/2004;2004;Denver Nuggets;107;Dallas Mavericks;102;;
1/31/2004;2004;Memphis Grizzlies;78;Detroit Pistons;80;;
1/31/2004;2004;New Jersey Nets;88;Houston Rockets;77;;
1/31/2004;2004;Boston Celtics;98;Indiana Pacers;99;;
1/31/2004;2004;Miami Heat;94;New Orleans Hornets;70;;
1/31/2004;2004;Phoenix Suns;105;New York Knicks;110;;
1/31/2004;2004;Los Angeles Clippers;115;Orlando Magic;106;;
1/31/2004;2004;Chicago Bulls;95;Portland Trail Blazers;102;OT;
1/31/2004;2004;Utah Jazz;81;San Antonio Spurs;85;;
1/31/2004;2004;Sacramento Kings;110;Seattle SuperSonics;103;;
2/1/2004;2004;Philadelphia 76ers;101;Minnesota Timberwolves;106;;
2/1/2004;2004;Los Angeles Lakers;84;Toronto Raptors;83;;
2/1/2004;2004;Cleveland Cavaliers;104;Washington Wizards;100;;
2/2/2004;2004;Los Angeles Clippers;101;Atlanta Hawks;95;;
2/2/2004;2004;Portland Trail Blazers;97;Denver Nuggets;116;;
2/2/2004;2004;Los Angeles Lakers;72;Indiana Pacers;85;;
2/2/2004;2004;Golden State Warriors;101;Memphis Grizzlies;106;;
2/2/2004;2004;Detroit Pistons;102;Miami Heat;100;OT;
2/2/2004;2004;New Jersey Nets;91;New Orleans Hornets;70;;
2/2/2004;2004;Houston Rockets;79;Phoenix Suns;99;;
2/2/2004;2004;Chicago Bulls;97;Seattle SuperSonics;109;;
2/2/2004;2004;San Antonio Spurs;83;Utah Jazz;65;;
2/3/2004;2004;Golden State Warriors;93;Dallas Mavericks;107;;
2/3/2004;2004;Cleveland Cavaliers;85;Detroit Pistons;82;;
2/3/2004;2004;Orlando Magic;100;Minnesota Timberwolves;113;;
2/3/2004;2004;Indiana Pacers;90;New York Knicks;97;;
2/3/2004;2004;Toronto Raptors;93;Philadelphia 76ers;80;;
2/3/2004;2004;Seattle SuperSonics;101;Sacramento Kings;117;;
2/4/2004;2004;Minnesota Timberwolves;89;Atlanta Hawks;97;;
2/4/2004;2004;Los Angeles Clippers;95;Boston Celtics;86;;
2/4/2004;2004;Los Angeles Lakers;111;Cleveland Cavaliers;106;OT;
2/4/2004;2004;Milwaukee Bucks;89;Houston Rockets;103;;
2/4/2004;2004;Miami Heat;88;New Jersey Nets;99;;
2/4/2004;2004;Dallas Mavericks;113;New Orleans Hornets;104;;
2/4/2004;2004;Portland Trail Blazers;101;Phoenix Suns;97;;
2/4/2004;2004;Orlando Magic;90;Toronto Raptors;110;;
2/4/2004;2004;Chicago Bulls;95;Utah Jazz;79;;
2/4/2004;2004;Memphis Grizzlies;103;Washington Wizards;101;;
2/5/2004;2004;Los Angeles Lakers;73;Philadelphia 76ers;96;;
2/5/2004;2004;San Antonio Spurs;96;Seattle SuperSonics;90;;
2/6/2004;2004;Atlanta Hawks;100;Boston Celtics;96;;
2/6/2004;2004;Denver Nuggets;87;Golden State Warriors;96;;
2/6/2004;2004;Chicago Bulls;80;Houston Rockets;82;;
2/6/2004;2004;Milwaukee Bucks;85;Memphis Grizzlies;105;;
2/6/2004;2004;Cleveland Cavaliers;92;Minnesota Timberwolves;103;;
2/6/2004;2004;Orlando Magic;99;New Jersey Nets;120;;
2/6/2004;2004;Detroit Pistons;81;New Orleans Hornets;92;;
2/6/2004;2004;Seattle SuperSonics;107;Phoenix Suns;105;;
2/6/2004;2004;San Antonio Spurs;102;Sacramento Kings;94;;
2/6/2004;2004;Indiana Pacers;83;Toronto Raptors;77;;
2/6/2004;2004;Portland Trail Blazers;87;Utah Jazz;73;;
2/6/2004;2004;Los Angeles Clippers;100;Washington Wizards;112;;
2/7/2004;2004;Houston Rockets;86;Atlanta Hawks;77;;
2/7/2004;2004;Washington Wizards;106;Cleveland Cavaliers;88;;
2/7/2004;2004;Detroit Pistons;108;Dallas Mavericks;111;;
2/7/2004;2004;New York Knicks;76;Miami Heat;64;;
2/7/2004;2004;New Orleans Hornets;97;Milwaukee Bucks;107;;
2/7/2004;2004;Boston Celtics;110;Philadelphia 76ers;80;;
2/7/2004;2004;Utah Jazz;96;Phoenix Suns;92;;
2/8/2004;2004;Toronto Raptors;84;Golden State Warriors;81;OT;
2/8/2004;2004;Miami Heat;91;Indiana Pacers;97;;
2/8/2004;2004;Memphis Grizzlies;99;Minnesota Timberwolves;98;;
2/8/2004;2004;Philadelphia 76ers;87;New Jersey Nets;99;;
2/8/2004;2004;Los Angeles Clippers;104;New York Knicks;110;;
2/8/2004;2004;Los Angeles Lakers;98;Orlando Magic;96;;
2/8/2004;2004;Seattle SuperSonics;85;Portland Trail Blazers;95;;
2/8/2004;2004;Denver Nuggets;92;Sacramento Kings;115;;
2/9/2004;2004;Dallas Mavericks;96;Atlanta Hawks;102;;
2/9/2004;2004;Boston Celtics;89;Cleveland Cavaliers;97;;
2/9/2004;2004;Memphis Grizzlies;83;Denver Nuggets;86;;
2/9/2004;2004;San Antonio Spurs;85;Houston Rockets;82;;
2/10/2004;2004;Indiana Pacers;103;Chicago Bulls;84;;
2/10/2004;2004;New York Knicks;90;Dallas Mavericks;105;;
2/10/2004;2004;Los Angeles Lakers;98;Miami Heat;83;;
